,Date,AQI
299,02/10/2021,86.95644171
300,03/10/2021,85.37397534
301,04/10/2021,89.36380894
302,05/10/2021,84.28315305
303,06/10/2021,87.54780498
304,07/10/2021,87.65844487
305,08/10/2021,89.80213874
306,09/10/2021,88.90468721
307,10/10/2021,87.32716978
308,11/10/2021,91.32234652
309,12/10/2021,86.24742267
310,13/10/2021,89.51815822
311,14/10/2021,89.63521202
312,15/10/2021,91.78562344
313,16/10/2021,90.89514517
314,17/10/2021,89.32483007
315,18/10/2021,93.32738493
316,19/10/2021,88.25996705
317,20/10/2021,91.53828849
318,21/10/2021,91.66295481
319,22/10/2021,93.82094678
320,23/10/2021,92.93795851
321,24/10/2021,91.37496293
322,25/10/2021,95.38462424
323,26/10/2021,90.3240198
324,27/10/2021,93.60879243
325,28/10/2021,93.73946779
326,29/10/2021,95.90295208
327,30/10/2021,95.02488077
328,31/10/2021,93.46613095
329,01/11/2021,97.47930285
330,02/11/2021,92.42138331
331,03/11/2021,95.70794587
332,04/11/2021,95.83943629
333,05/11/2021,98.00268617
334,06/11/2021,97.12324046
335,07/11/2021,95.56191762
336,08/11/2021,99.571222
337,09/11/2021,94.50808716
338,10/11/2021,97.78799609
339,11/11/2021,97.91133595
340,12/11/2021,100.0648691
341,13/11/2021,99.17406586
342,14/11/2021,97.59969146
343,15/11/2021,101.5941863
344,16/11/2021,96.51442007
345,17/11/2021,99.77583309
346,18/11/2021,99.87875392
347,19/11/2021,102.0099076
348,20/11/2021,101.094722
349,21/11/2021,99.49392483
350,22/11/2021,103.4599247
351,23/11/2021,98.34955388
352,24/11/2021,101.5782421
353,25/11/2021,101.6462913
354,26/11/2021,103.7404266
355,27/11/2021,102.786049
356,28/11/2021,101.1439024
357,29/11/2021,105.0663793
358,30/11/2021,99.91034933
359,01/12/2021,103.0912369
360,02/12/2021,103.1093759
361,03/12/2021,105.1514967
362,04/12/2021,104.1430484
363,05/12/2021,102.4448174
364,06/12/2021,106.3092389
365,07/12/2021,101.0932144
366,08/12/2021,104.2122429
367,09/12/2021,104.1667117
368,10/12/2021,106.1434042
369,11/12/2021,105.0678762
370,12/12/2021,103.3009568
371,13/12/2021,107.0951768
372,14/12/2021,101.8075286
373,15/12/2021,104.8535963
374,16/12/2021,104.7338523
375,17/12/2021,106.6352188
376,18/12/2021,105.4833099
377,19/12/2021,103.6390932
378,20/12/2021,107.3552011
379,21/12/2021,101.9887535
380,22/12/2021,104.9554411
381,23/12/2021,104.7558801
382,24/12/2021,106.5770994
383,25/12/2021,105.3448568
384,26/12/2021,103.4202373
385,27/12/2021,107.0560169
386,28/12/2021,101.609438
387,29/12/2021,104.4963406
388,30/12/2021,104.2174689
389,31/12/2021,105.9599952
390,01/01/2022,104.6498056
391,02/01/2022,102.6481287
392,03/01/2022,106.2078842
393,04/01/2022,100.686448
394,05/01/2022,103.4997879
395,06/01/2022,103.1487863
396,07/01/2022,104.8207437
397,08/01/2022,103.4416951
398,09/01/2022,101.3729811
399,10/01/2022,104.8676441
400,11/01/2022,99.28319284
401,12/01/2022,102.0357071
402,13/01/2022,101.6261919
403,14/01/2022,103.242049
404,15/01/2022,101.8094251
405,16/01/2022,99.68976208
406,17/01/2022,103.1362035
407,18/01/2022,97.50633822
408,19/01/2022,100.2163577
409,20/01/2022,99.76732028
410,21/01/2022,101.3467235
411,22/01/2022,99.88077291
412,23/01/2022,97.73096879
413,24/01/2022,101.1505134
414,25/01/2022,95.49706471
415,26/01/2022,98.18682496
416,27/01/2022,97.7209111
417,28/01/2022,99.28684194
418,29/01/2022,97.81083898
419,30/01/2022,95.65443449
420,31/01/2022,99.07081474
421,01/02/2022,93.41764842
422,02/02/2022,96.11113236
423,03/02/2022,95.6523569
424,04/02/2022,97.22882488
425,05/02/2022,95.76672048
426,06/02/2022,93.62753873
427,07/02/2022,97.06442856
428,08/02/2022,91.43498943
429,09/02/2022,94.1553649
430,10/02/2022,93.72658138
431,11/02/2022,95.3360618
432,12/02/2022,93.90991044
433,13/02/2022,91.80952643
434,14/02/2022,95.28797881
435,15/02/2022,89.70274449
436,16/02/2022,92.46986584
437,17/02/2022,92.0902627
438,18/02/2022,93.75123017
439,19/02/2022,92.37875533
440,20/02/2022,90.33409879
441,21/02/2022,93.87018577
442,22/02/2022,88.34437598
443,23/02/2022,91.17255197
444,24/02/2022,90.85548443
445,25/02/2022,92.58030862
446,26/02/2022,91.27287314
447,27/02/2022,89.29426812
448,28/02/2022,92.89726962
449,01/03/2022,87.43905623
450,02/03/2022,90.33536133
451,03/03/2022,90.0867745
452,04/03/2022,91.88027651
453,05/03/2022,90.64153482
454,06/03/2022,88.73148509
